Zeit;Kanal A
(ms);(mV)

-25,00799905;-1,67999500
-25,00299905;-1,49298700
-24,99799905;-1,11958700
-24,99299905;-1,67999500
-24,98799905;-0,93319390
-24,98299905;-0,74618600
-24,97799905;-1,11958700
-24,97299905;-1,11958700
-24,96799905;-0,74618600
-24,96299905;-0,55979330
-24,95799905;-1,67999500
-24,95299905;-1,67999500
-24,94799905;-1,30659400
-24,94299905;-3,54699800
-24,93799905;-2,42679600
-24,93299905;-2,61318900
-24,92799905;-2,98658900
-24,92299905;-2,05339600
-24,91799905;-1,67999500
-24,91299905;-2,23978800
-24,90799905;-2,61318900
-24,90299905;-2,23978800
-24,89799905;-3,17359700
-24,89299905;-2,05339600
-24,88799905;-2,42679600
-24,88299905;-3,54699800
-24,87799905;-3,17359700
-24,87299906;-2,61318900
-24,86799906;-1,86638800
-24,86299906;-2,98658900
-24,85799906;-2,61318900
-24,85299906;-2,61318900
-24,84799906;-2,98658900
-24,84299906;-2,80019700
-24,83799906;-2,80019700
-24,83299906;-3,17359700
-24,82799906;-2,61318900
-24,82299906;-1,86638800
-24,81799906;-3,17359700
-24,81299906;-3,35999000
-24,80799906;-2,98658900
-24,80299906;-3,17359700
-24,79799906;-2,98658900
-24,79299906;-3,54699800
-24,78799906;-2,23978800
-24,78299906;-2,98658900
-24,77799906;-3,54699800
-24,77299906;-2,80019700
-24,76799906;-2,61318900
-24,76299906;-3,54699800
-24,75799906;-2,98658900
-24,75299906;-2,61318900
-24,74799906;-2,61318900
-24,74299906;-2,98658900
-24,73799906;-1,86638800
-24,73299906;-2,23978800
-24,72799906;-2,05339600
-24,72299906;-2,23978800
-24,71799906;-2,05339600
-24,71299906;-2,05339600
-24,70799906;-2,23978800
-24,70299906;-2,23978800
-24,69799906;-2,05339600
-24,69299906;-2,42679600
-24,68799906;-2,05339600
-24,68299906;-4,85359200
-24,67799906;-1,67999500
-24,67299906;-2,05339600
-24,66799906;-2,61318900
-24,66299906;-2,80019700
-24,65799906;-2,42679600
-24,65299906;-1,86638800
