Zeit;Kanal A
(ms);(mV)

-23,99399908;5,04060000
-23,98899908;4,85359200
-23,98399908;4,29379900
-23,97899908;3,54699800
-23,97399908;4,85359200
-23,96899908;4,10679100
-23,96399908;4,85359200
-23,95899908;4,66720000
-23,95399908;5,04060000
-23,94899908;4,66720000
-23,94399908;5,04060000
-23,93899908;5,22699300
-23,93399908;4,85359200
-23,92899908;5,04060000
-23,92399908;3,73339100
-23,91899908;3,73339100
-23,91399908;3,17359700
-23,90899908;3,73339100
-23,90399908;3,92039800
-23,89899908;2,80019700
-23,89399908;2,05339600
-23,88899908;3,54699800
-23,88399908;3,54699800
-23,87899908;2,80019700
-23,87399908;2,80019700
-23,86899908;3,73339100
-23,86399908;3,92039800
-23,85899908;4,29379900
-23,85399908;2,98658900
-23,84899908;3,92039800
-23,84399908;3,73339100
-23,83899908;3,35999000
-23,83399908;4,29379900
-23,82899908;3,73339100
-23,82399908;3,73339100
-23,81899908;3,73339100
-23,81399908;2,98658900
-23,80899908;3,35999000
-23,80399908;2,05339600
-23,79899908;2,23978800
-23,79399908;2,42679600
-23,78899908;1,11958700
-23,78399908;1,86638800
-23,77899908;2,42679600
-23,77399908;2,23978800
-23,76899908;2,98658900
-23,76399908;2,05339600
-23,75899908;2,23978800
-23,75399908;2,98658900
-23,74899908;3,35999000
-23,74399908;3,35999000
-23,73899908;4,10679100
-23,73399908;2,05339600
-23,72899908;3,17359700
-23,72399908;2,42679600
-23,71899908;3,17359700
-23,71399908;2,98658900
-23,70899908;2,98658900
-23,70399908;2,42679600
-23,69899908;2,05339600
-23,69399908;1,30659400
-23,68899909;0,37278540
-23,68399909;0,18639270
-23,67899909;0,18639270
-23,67399909;0,74618600
-23,66899909;-0,55979330
-23,66399909;-0,18639270
-23,65899909;-0,93319390
-23,65399909;-0,55979330
-23,64899909;-0,74618600
-23,64399909;0,00000000
-23,63899909;-1,49298700
-23,63399909;-1,30659400
-23,62899909;-2,23978800
-23,62399909;-0,74618600
-23,61899909;-0,37278540
-23,61399909;-0,55979330
-23,60899909;0,93319390
-23,60399909;-0,55979330
-23,59899909;0,18639270
-23,59399909;0,74618600
-23,58899909;0,74618600
-23,58399909;0,55979330
-23,57899909;1,11958700
-23,57399909;1,11958700
-23,56899909;1,67999500
-23,56399909;0,37278540
-23,55899909;0,93319390
-23,55399909;2,42679600
-23,54899909;0,37278540
-23,54399909;0,93319390
-23,53899909;0,18639270
-23,53399909;0,93319390
-23,52899909;-0,55979330
-23,52399909;-0,37278540
-23,51899909;-0,37278540
-23,51399909;-1,11958700
-23,50899909;-1,67999500
-23,50399909;-0,74618600
-23,49899909;-2,05339600
-23,49399909;-1,11958700
-23,48899909;-2,23978800
-23,48399909;-2,61318900
-23,47899909;-2,05339600
-23,47399909;-2,05339600
-23,46899909;-1,11958700
-23,46399909;-1,86638800
-23,45899909;-1,30659400
-23,45399909;-0,37278540
-23,44899909;-0,55979330
-23,44399909;-1,30659400
-23,43899909;-1,67999500
-23,43399909;-2,05339600
-23,42899909;-1,11958700
-23,42399909;-2,23978800
-23,41899909;-1,49298700
-23,41399909;-1,67999500
-23,40899909;-2,05339600
-23,40399909;-2,61318900
-23,39899909;-2,80019700
-23,39399909;-2,42679600
-23,38899909;-3,17359700
-23,38399909;-2,61318900
-23,37899909;-3,73339100
-23,37399909;-4,48019200
-23,36899909;-4,29379900
-23,36399909;-4,48019200
-23,35899909;-3,92039800
-23,35399909;-3,35999000
-23,34899909;-4,48019200
-23,34399909;-3,17359700
-23,33899909;-3,54699800
-23,33399909;-2,98658900
-23,32899909;-3,17359700
-23,32399909;-2,05339600
-23,31899909;-2,23978800
-23,31399909;-2,05339600
-23,30899909;-2,23978800
-23,30399909;-2,23978800
-23,29899909;-2,61318900
-23,29399910;-2,05339600
-23,28899910;-2,98658900
-23,28399910;-2,61318900
-23,27899910;-3,17359700
-23,27399910;-3,73339100
-23,26899910;-3,17359700
-23,26399910;-2,61318900
-23,25899910;-3,17359700
-23,25399910;-3,54699800
-23,24899910;-4,48019200
-23,24399910;-2,98658900
-23,23899910;-3,92039800
-23,23399910;-3,35999000
-23,22899910;-3,73339100
-23,22399910;-3,54699800
-23,21899910;-2,98658900
-23,21399910;-1,67999500
-23,20899910;-3,17359700
-23,20399910;-2,23978800
-23,19899910;-3,54699800
-23,19399910;-2,80019700
-23,18899910;-2,61318900
-23,18399910;-2,42679600
-23,17899910;-1,49298700
-23,17399910;-2,98658900
-23,16899910;-2,61318900
-23,16399910;-2,80019700
-23,15899910;-3,92039800
-23,15399910;-3,17359700
-23,14899910;-3,17359700
-23,14399910;-4,10679100
-23,13899910;-2,98658900
-23,13399910;-2,98658900
-23,12899910;-2,61318900
-23,12399910;-2,98658900
-23,11899910;-1,67999500
